tư_vấn thuốc huyết_áp	chào bác sỹ cho tôi hỏi thuốc huyết_áp savi dopril có làm tăng nhịp tim khi uống không ả 
xuất_hiện hụt_hơi	em nam tuổi do lạm dung cafein thức khuya ăn uống thiếu chất m kg ít vận_động tháng trước e khám bệnh thì nhịp xoang nhanh hở van lá hạ kali trong máu dạo gần_đây e đã cải_thiện cách sinh_hoạt và loại_bỏ hẳn nhịp tim dần ổn_định khi nghỉ_ngơi lúc bệnh là luôn nhưng vẫn khá cao khi vận_động tầm e vẫn hạn_chế tập_thể dụng nhưng vài ngày_nay em gặp triệu_chứng hụt_hơi cảm_giác khi sờ vào tim đang đập bình_thường thì có nhịp chậm lại khoản giây tạo cảm_giác hụt_hơi sau đó đập lại ngay tập tức kể_cả khi nghỉ_ngơi nếu vận_động tim đập nhanh là lúc dễ gặp tình_trạng này nhất thuốc em đang dùng là atenotol mg nữa viên ngày panangine viên ngày panangine bác_sĩ kê toa ngày viên sáng chiều do em uống tháng nay nên tự_ý giảm còn thì xin hỏi vấn_đề hụt_hơi của em là do đâu ạ 
đau thắt ngực phải	mấy hôm_nay em bị đau thắt ngực bên phải hít sâu cũng bị và đau thành cơn xin hỏi bác sỹ bị như vậy có nguy_hiểm k và cần xử_lý ntn ah em cảm_ơn 
tình_trạng khẩn_cấp	chào bác_sĩ chồng em năm nay tuổi không có làm công_việc nặng_nhọc hay công_việc không cần suy_nghĩ nhiều nhưng thường_xuyên lên cơn tim ngày nào cũng bị tức là có lúc thì tim đập ra rất nhanh có thê từ nhịp phút có lúc thì đập chậm đưa tay vào để trên ngực mà không cảm_nhận được nhịp tim đập những lúc đó thì chồng em rất khó thở giống như thiếu oxy lên não vậy em có cùng chồng đi khám nhiều bệnh_viện nhưng không tìm ra được nguyên_nhân đi khám thì bảo tim rất bình_thường vậy bác_sĩ có thể tư_vấn giúp em để tìm ra được nguyên_nhân không ạ cám_ơn 
huyết_áp cao	thưa bác_sĩ bác ruột cháu năm nay tuổi và hay bị tăng huyết_áp tăng đến khoảng gần_đây nhất bác bị tăng huyết_áp và phải cấp_cứu ở bệnh_viện nhưng sau ngày từ viện trở_về thì huyết_áp lại tiếp_tục tăng xin bác_sĩ cho cháu biết gia_đình cháu nên phải làm gì trong trường_hợp này tình_trạng huyết_áp đột_ngột tăng của bác cháu cũng đã diễn ra hơn năm qua rồi ạ rất mong nhận được tư_vấn từ các bác_sĩ để giúp bác cháu ạ 
hạn sử_dụng giấy chuyển viện	cho e hỏi cha e tuổi bị bệnh huyết_áp và thiếu máu tim cục_bộ e đến bệnh_viện huyện xin giấy chuyển viện lên tuyến trên điều_trị vậy hạn sử_dụng giấy chuyển viện là bao lâu ạ e chân_thành cảm_ơn 
câu_hỏi	thưa bác_sĩ con năm nay tuổi là nữ bác_sĩ cho con hỏi con thường hay khó thở khi thở thì phải há miệng ra để lấy hơi vô còn thở bình_thường bằng mũi con cảm_thấy như bị ngộp như k thở phải há miệng ra thở_dài và sâu mới lấy hơi vào như v mới thấy khỏe thường con há miệng ra để lấy hơi như v lần thì chỉ vài lần mới có đủ hơi để thở còn k thì thở đến ngực là đã hụt_hơi con ngồi ăn cơm hay làm_việc cũng thấy khó thở bác_sĩ cho con hỏi là con bị gì vậy ạ con bị như vậy từ lúc tuổi cho đến nay ạ 
xét_nghiệm công_thức máu	thưa bác_sĩ cho e hỏi e vừa xét_nghiệm công_thức máu thì kết_quả là số_lượng hồng_cầu rbc lượng huyết_sắc_tố hb thể_tích trung_bình hồng_cầu mcv lượng hb trung_bình hồng_cầu mchc độ phân_bố tiểu_cầu pdw vậy có bị làm sao k ạ 
hỏi về sức_khỏe	dạ_con xin chào con bị tim bẩm_sinh con phẫu_thuật cách đây mà rồi nhưng đạo gần_đây hãy mệt khó thở có lúc không nói nỗi vậy liệu có gì nguy_hiểm không con có thể đi làm được không có sinh_hoạt bình_thường được không ạ 
có tim thai nhưng không đo được tần_số	ngày em đi siêu_âm tim thai khoảng w d mọi chỉ_số ổn ngày_sau em siêu_âm lại thì bác_sĩ bảo có tim thai nhưng ko đo được tần_số tuổi thai khoảng w d vậy thai của em có gì bất_thường không 
định_lượng cholesterol toàn_phần máu	cháu đi xét_nghiệm định_lượng cholesterol toàn_phần có kết_quả là h mmol l là có sao không ạ vì_sao lại có chữ h ạ 
